atom, color, radius, mass, name, atomicNumber
H, 0xFFFFFF, 37, 1.01, Hydrogen, 1
He, 0xD9FFFF, 31, 4.00, Helium, 2
Li, 0xCC80FF, 167, 6.94, Lithium, 3
Be, 0xC2FF00, 112, 9.01, Beryllium, 4
B, 0xFFB5B5, 87, 10.81, Boron, 5
C, 0x909090, 67, 12.01, Carbon, 6
N, 0x3050F8, 56, 14.01, Nitrogen, 7
O, 0xFF0D0D, 48, 16.00, Oxygen, 8
F, 0x90E050, 42, 19.00, Fluorine, 9
Ne, 0xB3E3F5, 38, 20.18, Neon, 10
Na, 0xAB5CF2, 190, 22.99, Sodium, 11
Mg, 0x8AFF00, 145, 24.31, Magnesium, 12
Al, 0xBFA6A6, 118, 26.98, Aluminum, 13
Si, 0xF0C8A0, 111, 28.09, Silicon, 14
P, 0xFF8000, 98, 30.97, Phosphorus, 15
S, 0xFFFF30, 88, 32.07, Sulfur, 16
Cl, 0x1FF01F, 79, 35.45, Chlorine, 17
Ar, 0x80D1E3, 71, 39.95, Argon, 18
K, 0x8F40D4, 243, 39.10, Potassium, 19
Ca, 0x3DFF00, 194, 40.08, Calcium, 20
Sc, 0xE6E6E6, 184, 44.96, Scandium, 21
Ti, 0xBFC2C7, 176, 47.88, Titanium, 22
V, 0xA6A6AB, 171, 50.94, Vanadium, 23
Cr, 0x8A99C7, 166, 52.00, Chromium, 24
Mn, 0x9C7AC7, 161, 54.94, Manganase, 25
Fe, 0xE06633, 156, 55.85, Iron, 26
Co, 0xF090A0, 152, 58.93, Cobalt, 27
Ni, 0x50D050, 149, 58.69, Nickel, 28
Cu, 0xC88033, 145, 63.55, Copper, 29
Zn, 0x7D80B0, 142, 65.39, Zinc, 30
Ga, 0xC28F8F, 136, 69.72, Gallium, 31
Ge, 0x668F8F, 125, 72.59, Germanium, 32
As, 0xBD80E3, 114, 74.92, Arsenic, 33
Se, 0xFFA100, 103, 78.96, Selenium, 34
Br, 0xA62929, 94, 79.90, Bromine, 35
Kr, 0x5CB8D1, 88, 83.80, Krypton, 36
Rb, 0x702EB0, 265, 85.47, Rubidium, 37
Sr, 0x00FF00, 219, 87.62, Strontium, 38
Y, 0x94FFFF, 212, 88.91, Yttrium, 39
Zr, 0x94E0E0, 206, 91.22, Zirconium, 40
Nb, 0x73C2C9, 198, 92.91, Niobium, 41
Mo, 0x54B5B5, 190, 95.94, Molybdenum, 42
Tc, 0x3B9E9E, 183, 98.00, Technetium, 43
Ru, 0x248F8F, 178, 101.10, Ruthenium, 44
Rh, 0x0A7D8C, 173, 102.90, Rhodium, 45
Pd, 0x006985, 169, 106.40, Palladium, 46
Ag, 0xC0C0C0, 165, 107.90, Silver, 47
Cd, 0xFFD98F, 161, 112.40, Cadmium, 48
In, 0xA67573, 156, 114.80, Indium, 49
Sn, 0x668080, 145, 118.70, Tin, 50
Sb, 0x9E63B5, 133, 121.80, Antimony, 51
Te, 0xD47A00, 123, 127.60, Tellurium, 52
I, 0x940094, 115, 126.90, Iodine, 53
Xe, 0x429EB0, 108, 131.30, Xenon, 54
Cs, 0x57178F, 298, 132.90, Cesium, 55
Ba, 0x00C900, 253, 137.30, Barium, 56
La, 0x70D4FF, 250, 138.90, Lanthanum, 57
Ce, 0xFFFFC7, 250, 140.10, Cerium, 58
Pr, 0xD9FFC7, 247, 140.90, Praseodymium, 59
Nd, 0xC7FFC7, 206, 144.20, Neodymium, 60
Pm, 0xA3FFC7, 205, 147.00, Promethium, 61
Sm, 0x8FFFC7, 238, 150.40, Samarium, 62
Eu, 0x61FFC7, 231, 152.00, Europium, 63
Gd, 0x45FFC7, 233, 157.30, Gadolinium, 64
Tb, 0x30FFC7, 225, 158.90, Terbium, 65
Dy, 0x1FFFC7, 228, 162.50, Dysprosium, 66
Ho, 0x00FF9C, 226, 164.90, Holmium, 67
Er, 0x00E675, 226, 167.30, Erbium, 68
Tm, 0x00D452, 222, 168.90, Thulium, 69
Yb, 0x00BF38, 222, 173.00, Ytterbium, 70
Lu, 0x00AB24, 217, 175.00, Lutetium, 71
Hf, 0x4DC2FF, 208, 178.50, Hafnium, 72
Ta, 0x4DA6FF, 200, 180.90, Tantalum, 73
W, 0x2194D6, 193, 183.90, Tungsten, 74
Re, 0x267DAB, 188, 186.20, Rhenium, 75
Os, 0x266696, 185, 190.20, Osmium, 76
Ir, 0x175487, 180, 192.20, Iridium, 77
Pt, 0xD0D0E0, 177, 195.10, Platinum, 78
Au, 0xFFD123, 174, 197.00, Gold, 79
Hg, 0xB8B8D0, 171, 200.60, Mercury, 80
Tl, 0xA6544D, 156, 204.40, Thallium, 81
Pb, 0x575961, 154, 207.20, Lead, 82
Bi, 0x9E4FB5, 143, 209.00, Bismuth, 83
Po, 0xAB5C00, 135, 210.00, Polonium, 84
At, 0x754F45, 127, 210.00, Astatine, 85
Rn, 0x428296, 120, 222.00, Radon, 86
Fr, 0x420066, 120, 223.00, Francium, 87
Ra, 0x007D00, 120, 226.00, Radium, 88
Ac, 0x70ABFA, 120, 227.00, Actinium, 89
Th, 0x00BAFF, 120, 232.00, Thorium, 90
Pa, 0x00A1FF, 120, 231.00, Protactinium, 91
U, 0x008FFF, 120, 238.00, Uranium, 92
Np, 0x0080FF, 120, 237.00, Neptunium, 93
Pu, 0x006BFF, 120, 242.00, Plutonium, 94
Am, 0x545CF2, 120, 243.00, Americium, 95
Cm, 0x785CE3, 120, 247.00, Curium, 96
Bk, 0x8A4FE3, 120, 247.00, Berkelium, 97
Cf, 0xA136D4, 120, 249.00, Californium, 98
Es, 0xB31FD4, 120, 254.00, Einsteinium, 99
Fm, 0xB31FBA, 120, 254.00, Fermium, 100
Md, 0xB30DA6, 120, 256.00, Mendelevium, 101
No, 0xBD0D87, 120, 254.00, Nobelium, 102
Lr, 0xC70066, 120, 257.00, Lawrencium, 103
Rf, 0xCC0059, 120, 257.00, Rutherfordium, 104
Db, 0xD1004F, 120, 260.00, Dubnium, 105
Sg, 0xD90045, 120, 263.00, Seaborgium, 106
Bh, 0xE00038, 120, 262.00, Bohrium, 107
Hs, 0xE6002E, 120, 265.00, Hassium, 108
Mt, 0xEB0026, 120, 266.00, Meitnerium, 109